City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,-0.99,55,100,6.69,GL,1728833084
1,grytviken,-54.2811,-36.5092,0.04,74,25,4.88,GS,1728833363
2,al bawiti,28.3492,28.8659,33.74,20,0,4.4,EG,1728833364
3,ushuaia,-54.8,-68.3,10.81,54,0,5.14,AR,1728833124
4,tshabong,-26.05,22.45,37.49,6,6,1.26,BW,1728833367
5,avarua,-21.2078,-159.775,22.03,88,75,5.14,CK,1728833368
6,iqaluit,63.7506,-68.5145,0.85,80,75,6.17,CA,1728833369
7,puerto natales,-51.7236,-72.4875,13.25,47,40,14.4,CL,1728833371
8,adamstown,-25.066,-130.1015,21.06,82,100,6.01,PN,1728833372
9,port mathurin,-19.6833,63.4167,22.5,74,8,10.04,MU,1728833374
10,papatowai,-46.5619,169.4708,2.22,86,3,2.86,NZ,1728833375
11,ribeira grande,38.5167,-28.7,22.22,94,75,7.2,PT,1728833376
12,bethel,41.3712,-73.414,16.12,63,40,3.6,US,1728833377
13,ancud,-41.8697,-73.8203,11.4,81,46,1.9,CL,1728833379
14,wailua homesteads,22.0669,-159.378,22.24,95,79,3.77,US,1728833380
15,uturoa,-16.7333,-151.4333,24.93,74,32,7.15,PF,1728833381
16,port-aux-francais,-49.35,70.2167,4.85,93,100,12.93,TF,1728833383
17,ahoada,5.074,6.6535,26.14,96,100,1.04,NG,1728833384
18,blackmans bay,-43.0167,147.3167,8.07,88,100,0.45,AU,1728833386
19,kavaratti,10.5669,72.642,26.54,87,100,2.37,IN,1728833387
20,howard springs,-12.497,131.047,27.95,76,29,3.45,AU,1728833388
21,alofi,-19.0595,-169.9187,20.94,94,99,1.54,NU,1728833389
22,waitangi,-43.9535,-176.5597,9.34,74,100,1.34,NZ,1728833391
23,turkmenbasy,40.0222,52.9552,19.43,45,75,4.12,TM,1728833392
24,vorgashor,67.5833,63.95,0.77,91,100,6.94,RU,1728833393
25,mendota,36.7536,-120.3816,16.15,90,0,2.66,US,1728833395
26,west island,-12.1568,96.8225,26.99,89,20,6.69,CC,1728833396
27,valparaiso,-33.0393,-71.6273,19.13,65,0,5.66,CL,1728833398
28,namibe,-15.1961,12.1522,22.53,78,11,5.35,AO,1728833399
29,sheridan,44.8333,-106.9173,11.84,29,4,3.22,US,1728833400
30,nantucket,41.2835,-70.0995,13.06,62,100,6.15,US,1728833402
31,albany,42.6001,-73.9662,7.64,82,100,0.92,US,1728833403
32,bilibino,68.0546,166.4372,-11.45,86,100,1.28,RU,1728833404
33,torres,-29.3353,-49.7269,23.79,67,27,6.59,BR,1728833406
34,yellowknife,62.456,-114.3525,7.45,83,75,11.32,CA,1728833407
35,invercargill,-46.4,168.35,1.12,92,16,1.46,NZ,1728833408
36,wagar,16.1525,36.2032,35.67,20,0,3.39,SD,1728833410
37,port elizabeth,-33.918,25.5701,21.17,89,75,3.6,ZA,1728833411
38,villa regina,-39.1,-67.0667,23.47,16,0,4.94,AR,1728833412
39,lagunillas,10.1301,-71.2595,30.84,70,100,3.98,VE,1728833414
40,beykonak,36.3257,30.303,23.77,83,8,1.5,TR,1728833416
41,longyearbyen,78.2186,15.6401,2.91,75,75,10.29,SJ,1728833418
42,udachny,66.4167,112.4,-21.52,100,57,2.35,RU,1728833419
43,wau,7.7029,27.9953,26.17,69,42,2.45,SS,1728833420
44,hirara,24.8,125.2833,26.15,89,75,3.09,JP,1728833422
45,kununurra,-15.7667,128.7333,27.99,74,75,3.09,AU,1728833423
46,prince rupert,54.3161,-130.3201,9.83,94,100,4.12,CA,1728833424
47,santa rosa misiones,-26.8667,-56.85,31.85,33,0,2.52,PY,1728833426
48,mukalla,14.5425,49.1242,28.34,62,53,1.12,YE,1728833015
49,stanley,54.868,-1.6985,7.93,65,0,1.03,GB,1728833428
50,margate,51.3813,1.3862,11.06,66,100,0.51,GB,1728833430
51,sisimiut,66.9395,-53.6735,2.05,68,17,3.98,GL,1728833047
52,along,28.1667,94.7667,16.63,96,100,0.38,IN,1728833432
53,talnakh,69.4865,88.3972,-4.91,96,100,5.24,RU,1728833433
54,zhangye,38.9342,100.4517,15.61,26,28,2.74,CN,1728833098
55,piti village,13.4626,144.6933,27.49,85,0,3.09,GU,1728833436
56,isafjordur,66.0755,-23.124,2.02,55,0,1.54,IS,1728833437
57,usinsk,65.9939,57.5281,0.67,99,100,5.63,RU,1728833439
58,lebu,-37.6167,-73.65,13.68,61,4,4.76,CL,1728833440
59,guerrero negro,27.9769,-114.0611,22.91,65,0,2.76,MX,1728833441
60,thompson,55.7435,-97.8558,-0.91,86,75,1.03,CA,1728833443
61,keflavik,64.0049,-22.5624,3.95,52,0,4.63,IS,1728833169
62,whitehorse,60.7161,-135.0538,3.23,85,40,5.14,CA,1728833445
63,nuku'alofa,-21.1333,-175.2,22.19,100,75,1.54,TO,1728833447
64,ciechanow,52.8814,20.62,8.92,70,78,7.13,PL,1728833448
65,igarka,67.4667,86.5833,0.22,98,100,6.26,RU,1728833449
66,constantia,44.1833,28.65,16.5,61,93,2.46,RO,1728833451
67,hebi,35.8992,114.1925,17.86,75,22,1.87,CN,1728833452
68,kodiak,57.79,-152.4072,7.73,87,100,7.72,US,1728833455
69,port augusta,-32.5,137.7667,17.74,75,100,1.15,AU,1728833456
70,vila velha,-20.3297,-40.2925,26.97,72,75,8.23,BR,1728833457
71,devonport,-41.1667,146.35,9.18,96,100,0.67,AU,1728833459
72,stony plain,53.5334,-114.0021,5.84,65,0,6.69,CA,1728833460
73,tura,25.5198,90.2201,21.91,89,0,1.68,IN,1728833461
74,broome,42.2506,-75.833,8.43,87,100,4.12,US,1728833463
75,gunjur,13.2019,-16.7339,29.04,84,75,2.06,GM,1728833464
76,bamboo flat,11.7,92.7167,27.05,89,40,1.03,IN,1728833467
77,bayganin,48.6947,55.8742,1.73,34,0,4.17,KZ,1728833468
78,berezovyy,51.6667,135.7,3.22,56,100,2.01,RU,1728833070
79,midland,31.9974,-102.0779,25.91,22,0,4.12,US,1728833471
80,touros,-5.1989,-35.4608,29.93,54,20,6.5,BR,1728833472
81,quellon,-43.1167,-73.6167,10.69,87,99,1.35,CL,1728833066
82,nova vicosa,-17.8919,-39.3719,28.0,69,49,4.58,BR,1728833475
83,weno,7.4515,151.8468,29.03,75,99,4.81,FM,1728833476
84,taroa,8.7058,171.2275,28.14,77,29,5.39,MH,1728833477
85,williston,48.147,-103.618,4.34,80,93,2.2,US,1728833479
86,high river,50.5834,-113.8687,3.22,50,8,2.3,CA,1728833480
87,ust-nera,64.5667,143.2,-4.34,94,99,2.59,RU,1728833481
88,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,93,75,4.0,RU,1728833483
89,vilyuchinsk,52.9306,158.4028,5.15,96,100,3.29,RU,1728833484
90,punta arenas,-53.15,-70.9167,11.06,62,40,14.92,CL,1728833423
91,aasiaat,68.7098,-52.8699,-0.72,68,2,1.2,GL,1728833488
92,edinburgh of the seven seas,-37.0676,-12.3116,13.75,77,92,9.41,SH,1728833489
93,aswan,24.0934,32.907,34.49,14,0,4.71,EG,1728833492
94,haapavesi,64.1333,25.3667,4.73,95,100,1.79,FI,1728833493
95,muang xay,20.7,101.9833,22.12,88,69,0.64,LA,1728833495
96,i-n-salah,27.1935,2.4607,38.99,10,0,0.26,DZ,1728833496
97,st. john's,47.5649,-52.7093,12.86,74,75,8.75,CA,1728833497
98,enewetak,11.3474,162.3373,27.08,79,100,1.05,MH,1728833499
99,mancora,-4.1078,-81.0475,25.43,65,42,4.13,PE,1728833500
100,vila franca do campo,37.7167,-25.4333,23.23,92,100,2.27,PT,1728833501
101,sitka,57.0531,-135.33,9.94,71,100,6.17,US,1728833503
102,badger,64.8,-147.5333,1.14,90,75,2.57,US,1728833504
103,villa maria,-32.4075,-63.2402,20.68,68,100,5.53,AR,1728833505
104,margaret river,-33.95,115.0667,14.26,85,0,2.73,AU,1728833506
105,sa'dah,16.9402,43.7639,22.94,24,28,4.88,YE,1728833508
106,hermanus,-34.4187,19.2345,15.45,87,58,4.43,ZA,1728833509
107,hawaiian paradise park,19.5933,-154.9731,20.73,78,100,2.57,US,1728833511
108,portland,45.5234,-122.6762,13.65,90,20,1.34,US,1728833512
109,changling,44.2653,124.0005,16.0,58,100,7.78,CN,1728833513
110,bonab,37.3404,46.0561,20.25,32,20,1.03,IR,1728833339
111,mossel bay,-34.1831,22.146,16.96,80,20,4.28,ZA,1728833516
112,colby,39.3958,-101.0524,13.03,44,0,8.23,US,1728833517
